会社名,代表者,ホームページ,メールアドレス,電話番号,資本金,売上高,連絡先
"株式会社スタイリングライフ・ホールディングス　プラザスタイル カンパニー","カンパニーエグゼクティブプレジデント　沼尻 政芳",https://www.plazastyle.com/,gp_jinji@stylinglife.co.jp,03-6872-5036,非公開,非公開,"(株)スタイリングライフ・ホールディングス人事グループ　プラザスタイル カンパニー採用担当【所在地】　〒169-0074　東京都新宿区北新宿2-21-1　新宿フロントタワー 24F　　　　　　　※西新宿駅（丸ノ内線）：1番出口より徒歩4分【電話番号】　03-6872-50366【e-mail】　gp_jinji@stylinglife.co.jp【URL】　http://www.plazastyle.com/"
株式会社トライ・ダブリュー,近江康博,,,022-306-1562,3000万円,8億7400万円（2015年12月期実績）,"〒981-3117　宮城県仙台市太白区中田6-32-1　TEL：022-306-1562お問い合わせの受付は、株式会社ジャーマン・ファクトリー 総務部（メルセデス・ベンツ仙台東内）にて行っております。〒984-0002 宮城県仙台市若林区卸町東4-1-1 　TEL：022-288-0120"
株式会社ライトアップショッピングクラブ,代表取締役　遠藤　育雄,http://www.lusc.co.jp/http://www.jacketrequired.jp/,,03-6872-5036,1億円,グループの情報開示方針により非公開,"〒169-0074東京都新宿区北新宿2-21-1新宿フロントタワー 24F(株)スタイリングライフ・ホールディングス人事グループ　採用担当03-6872-5036gp_jinji@stylinglife.co.jp"
株式会社ププレひまわり,代表取締役　梶原　秀樹,,saiyou@pupule.co.jp,084-957-2678,4900万円（2015年9月現在）,"390億円（2016年09月実績） 362億円（2015年09月実績） 349億円(2014年09月実績) 343億円(2013年09月実績) 327億円(2012年09月実績) 316億円(2011年09月実績) 293億円(2010年09月実績) 276億円(2009年09月実績)","株式会社ププレひまわり　〒721-0958　　広島県福山市西新涯町2丁目10番11号　TEL:084-957-2678　FAX:084-957-2307　Email: saiyou@pupule.co.jp　担当　：　人事総務部採用・教育課　　　　　　　田頭、浅野、松浦、内田、池、大森"
株式会社ノジマ,野島廣司,,saiyo@nojima.co.jp,050-3116-1560,58億2116万円,4320億6400万円（2017年3月期）4548億4200万円(2016年3月期)2440億6700万円（2015年3月期）2184億200万円（2014年3月期,"〒220-6126  神奈川県横浜市西区みなとみらい2－3－3 クイーンズタワーＢ 26F　TEL:050-3116-1560　　FAX:050-3116-1250　Mail：saiyo@nojima.co.jp　担当/人財採用グループ　新卒採用係　大磯・太田・亜宮原・角田"
東京中日企業株式会社,代表取締役　谷井　正二,,,03-6910-2541,2400万円,約18億円（平成29年3月期実績）,"東京中日企業株式会社〒100-0011東京都千代田区内幸町2-1-4 日比谷中日ビル3FTEL：03-6910-2541担当者/総務部　郡司　英一"
株式会社アオキスーパー,代表取締役社長　青木　俊道,http://www.aokisuper.co.jp,,052-414-3600,13億7200万円(1994年6月30日　ジャスダック市場店頭公開)(2004年12月　ジャスダックに株式を上場)※平成22年4月　ジャスダック証券取引所と大阪証券取引所の合併に伴い、大阪証券取引所（JASDAQ市場）に上場となっております。,,"愛知県名古屋市中村区鳥居西通一丁目1番地　〒453-0054人事部　猪飼・東・青木TEL:　052-414-3600URL:　 http://www.aokisuper.co.jp/"
株式会社佐久本工機,代表取締役社長　佐久本嘉幸,,,098-877-7479,9990万円,73億4700万円（平成21年3月）,〒901-2131　沖縄県浦添市牧港1丁目61番18号採用担当　経営企画室　知花TEL　098-877-7479FAX　098-879-1435http://www.sakumoto.net/
株式会社ケーヨー,代表取締役社長　醍醐　茂夫,,,043-255-1113,165億558万円,1468億円(2017年2月末現在),"株式会社ケーヨー採用部／採用担当　永田/■本部〒264-0032千葉県千葉市若葉区みつわ台1-28-1Tel 043-255-1113(受付：平日10：00～18：00）■東京リクルートルーム〒101-0065東京都千代田区西神田2-1-12　景雲ビル3FTel 03-3222-0062(受付：平日10：00～18：00　不在の場合は本部に自動転送されます）"
株式会社ひだインテリア,"代表取締役社長　氷田 敏男",,,076-274-6004,1000万円,11億3800万円（2016年6月実績）,所在地：924-0865　石川県白山市倉光10-160電話番号：076-274-6004
株式会社スーパーサンエー,"代表取締役社長　植林 信二",http://www.super-san-ei.co.jp,,072-445-0099,9600万円,123億円（2015年度実績）,大阪府岸和田市大町475採用窓口　072-445-0099URL　http://www.super-san-ei.co.jp/本社交通機関／JR阪和線「久米田駅」を下車※府道30号線をわたり、[JAいずみの]を越えて徒歩2～3分です。
株式会社日本オプティカル,代表取締役社長　前田貴志,,noptjinji@nopt.co.jp,052-310-1112,8000万円,133億円(平成28年12月期実績),"〒451-0051 愛知県名古屋市西区則武新町二丁目22-7 総務部　総務人事担当【TEL】052-310-1112　 【E-mail】noptjinji@nopt.co.jp"
小山商事株式会社,"代表取締役 小山 正純・井部　忠義",,,0776-28-2007,1000万円,非公開,【採用担当　北川まで】福井県福井市二の宮5-1-30776-28-2007
株式会社キャリアル,"代表取締役：森 英誓(もりひでちか)",,,,900万円,9100万（取扱高）　2016年度3月期実績,本社／静岡県静岡市葵区音羽町7－18KGMビル303
株式会社クリエイティブ３０,代表取締役社長　安斉克広,,,03-3586-7077,1000万円,非公開,株式会社クリエイティブ30〒107-0052　東京都港区赤坂2-12-10　国際溜池ビル3FTEL/03-3586-7077　採用担当
株式会社クスリのアオキ（総合職）,代表取締役社長　青木　宏憲,http://www.kusuri-aoki.co.jp,kyouhei.kobayashi@kusuri-aoki.com,076-274-6113,3億円　（2017年5月期現在）,,〒924-8510　石川県白山市松本町2512番地株式会社クスリのアオキ（総合職　採用担当）採用部採用一課　小林TEL:076-274-6113　FAX:076-274-6114URL:http://www.kusuri-aoki.co.jpE-mail:kyouhei.kobayashi@kusuri-aoki.com（総合職採用窓口）アクセス:ＪＲ西日本北陸本線「加賀笠間駅」下車後、車で10分
株式会社ゴルフ・ドゥ,代表取締役社長　伊東　龍也,,,048-851-3110,506120千円,4969203千円（平成29年3月度）,"(株)ゴルフ・ドゥ採用担当　中村〒338-0001　埼玉県さいたま市中央区上落合2-3-1TEL：048-851-3110（受付時間 10：00～18：30）m-nakamura@golfdo.com"
"株式会社酒のカワサキグループ  ","代表取締役社長　川崎 信也",http://www.kasawakigroup.co.jp,,0761-73-0004,3000万円,100億円（2016年8月実績）,"〒922-0241石川県加賀市加茂町330番地3 採用担当TEL：0761-73-0004ホームページ　http://www.kasawakigroup.co.jp/index.html"
株式会社メディアコンサルティング,代表取締役社長　永田浩太郎,http://media-consulting.co.jp,,06-6458-2030,1000万円,非公開,"株式会社メディアコンサルティング〒530-0004 大阪市北区堂島浜1-2-1 新ダイビル27F新卒採用担当　TEL：06-6458-2030"
株式会社東武ストア,代表取締役　取締役社長　玉置　富貴雄,http://www.tobustore.co.jp,,,90億2200万円,"売上高の推移786億 4百万円（2016年2月期）809億41百万円（2015年2月期）792億53百万円（2014年2月期）781億11百万円（2013年2月期）806億93百万円（2012年2月期）776億30百万円（2011年2月期）781億24百万円（2010年2月期）",〒１７４－００７６東京都板橋区上板橋３－１－１東武ストア　採用担当東武東上線上板橋駅北口下車　徒歩１分（池袋から約15分の近さです。）03(5922)5221http://www.tobustore.co.jp/
株式会社テレスター,代表取締役　大津　信之,http://www.telestar.co.jp/index.html,,011-370-5886,2000万円,非公開,"株式会社テレスター　本部 （月～金曜　10:00～19:00）TEL：011-370-5886＜担当：鳥居＞〒 061-1278 北広島市大曲幸町1丁目11-13"
株式会社ワッツ,平岡史生,http://www.watts-jp,,06-4792-3282,4億4029万円,461億円（2016年8月期）　※グループ連結,〒540-0001　大阪市中央区城見1-4-70　住友生命OBPプラザビル5F株式会社ワッツ　総務部人事課　採用担当TEL:06-4792-3282＜WATTS　HP＞　http://www.watts-jp.com/※グループ本部の「株式会社ワッツ」にてご連絡をうけたまわります
株式会社ユーホー,代表取締役社長　佐藤哲士,http://www.hc-ufo.co.jp,jinji@hc-ufo.co.jp,084-954-9200,9600万円,255億円（2016年8月期）262億円（2015年8月期）276億円（2014年8月期）274億円（2013年8月期）,〒720-0824　広島県福山市多治米町6-3-5TEL:084-954-9200　FAX:084-954-9110(総務部人事課)交通機関/JR山陽本線福山駅下車　中国バス市内線「五本松」下車　徒歩3分○インターネットURL　http://www.hc-ufo.co.jp○E-mailアドレス　jinji@hc-ufo.co.jp
大阪いずみ市民生活協同組合,"理事長　勝山　暢夫専務理事　 久保　幸雄",,,072-232-5008,,,"大阪いずみ市民生活協同組合本部：〒590-0075 大阪府堺市堺区南花田口町2-2-15TEL：072-232-5008ホームページ： http://www.izumi.coop/index.html"
ヨシダ宣伝株式会社,"代表取締役社長　中居 寿",http://ysd-sd.com/,saiyo@ysd-sd.com,076-221-3231,2700万円,25億円（2016年9月実績）,"ヨシダ宣伝株式会社〒920-0866石川県金沢市中央通町1-22　本社総務部／友田（ともだ）TEL：076-221-3231FAX：076-262-6612 Email：saiyo@ysd-sd.com"
株式会社まいづる百貨店,代表取締役社長　木下　修一,http://maizuru.co.jp,,0955-77-3425,3000万円,グループ売上高　123億円　(平成29年度2月期実績),"【　株式会社　まいづる百貨店　】　　〒847-0034 　佐賀県唐津市中原2905-5　●TEL： 0955-77-3425　●FAX： 0955-77-3415　●HP: http://maizuru.co.jp　応募に関するお問合せにつきましては、電話でも受け付けております。 　ご遠慮なくお尋ね下さい。　まいづる百貨店　採用担当／川口"
株式会社千葉薬品（薬剤師職）,代表取締役社長　神崎　彰道,http://www.yacs.jp/,yakuzaishisaiyo@yacs.jp,0120-973-760,4億9100万円,456億円（2016年3月期）　,"株式会社千葉薬品 人事部 採用担当　岡田・土田住所：〒260-8564　千葉県千葉市中央区問屋町1-35ポートサイドタワー28階TEL：0120-973-760 （人事部採用専用ダイヤル）FAX：043-248-1889 （代表）E-mail　yakuzaishisaiyo@yacs.jp"
株式会社あさひ,,http://www.cb-asahi.jp,,06-6923-2630,20億6135万円,510億円（17年2月期／対前年105.6％）484億円（16年2月期／対前年108.6％）445億円（15年2月期／対前年105.6％）421億円（14年2月期／対前年112.4％）374億円（13年2月期／対前年106.2％）352億円（12年2月期／対前年123.0％）286億円（11年2月期／対前年110.0％）260億円（10年2月期／対前年120.2％）216億円（09年2月期／対前年125.6％）172億円（08年2月期／対前年117.0％）147億円（07年2月期／対前年122.5％）120億円（06年2月期／対前年114.3％）105億円（05年2月期／対前年118.0％）,"〒534-0011 　大阪府大阪市都島区高倉町3-11-4　TEL:06-6923-2630　FAX:06-6922-1798　総務部人事セクション採用チーム　：　瀬口、木村、下林、斎藤、武原　　企業情報サイト　http://www.cb-asahi.jp/　インターネット通販サイト　http://www.cb-asahi.co.jp/"
株式会社サクセス（建築設備事業部／ファシリティー事業部・技術職）,代表取締役　和泉　享,http://www.kk-success.co.jp,soumu@kk-success.co.jp,050-3530-1006,7000万円,27億8400万円（2017年6月期）,"★☆★　株式会社サクセス　採用窓口　★☆★ どんな小さな質問でも構いません。 お気軽にお問い合わせください！ 〒762-0053 香川県高松市紫雲町8-20 TEL 050-3530-1006 総務課／大西e-mail／soumu@kk-success.co.jp サクセスＨＰ／http://www.kk-success.co.jp/"
福島県南酒販株式会社,代表取締役社長　山口哲行,http://www.kennan-syuhan.co.jp/,hiroaki-abe@kennan-syuhan.co.jp,024-932-3250,1億4500万円,243億（2017年3月末現在）,"〒963-8863福島県郡山市字菜根屋敷20-1福島県南酒販株式会社　管理本部　総務部（総務人事課）総務部長　安部　浩昭電話番号　024-932-3250（代表）FAX 024-922-8859E-mail: hiroaki-abe@kennan-syuhan.co.jpURL： http://www.kennan-syuhan.co.jp"
